Timestamp,In what region do you live?,How long have you been working with Ember?,Grade your knowledge of Javascript,Grade your knowledge of Ember.js,What is your development role?,I use Ember for work:,Choose the option(s) that best describe your employment situation:,What are your preferred server-side languages:,What is your preferred text editor:,Choose the option(s) that best describe your participation in the Ember community:,Which operating system(s) do you use for development?,What other framework(s) do you have experience with?,How many developers are employed at your company?,How many developers at your company work with Ember?,"In one year, how many Ember developers do you plan to employ?",Which version(s) of Ember are in use in your apps?,Which data-access libraries do you use?,"If you use Ember-Data, which version(s) are in use:",What kind of templates do you use in your Ember apps?,What build tools do you use to build your Ember apps?,What do you use to package your app modules?,What do you use for dependency management?,What is the primary language of your server side stack?,Select any of these server-side frameworks you use:,What standards do you follow for HTTP API design?,What tool(s) do you use for HTTP API design/documentation?,What testing framework(s) do you use in your Ember apps?,How old are your Ember applications?,How often do you deploy updated versions of your Ember apps?,What is the primary target platform for your Ember apps?,Who uses your application(s)?,What browser versions do your applications target?,"In one year, what browser versions do you expect to target?",Which of these best describes your use of Ember in production applications?,What is your preferred hosting provider for your Ember apps?,How much is shared between your server-side and client-side app hosting?,Which SCM do you use?,What method do you rely on for search engine indexing?,"How many addons have you written (including private, unpublished libraries)?",How many addons have you published publicly?,Are your addons unit tested?,Are your addons acceptance tested?
2/4/2015 15:56:48,North America,12-18 months,8,9,Developer,All the time,Employee doing consulting/client work,"Ruby, JavaScript, Elixir, Rust",Vim,"Opened an issue, Opened a PR, Maintain a library, Attended a meetup / conference, Written a blog post / article, Given a talk / lecture / class","Mac OSX, Linux/Unix","Backbone, jQuery Mobile",10-20,1-10,More,"1.9, 1.10, Canary (master)","Ember-Data, Custom Solution, ic-ajax","1.0-beta.8-10, 1.0-beta.14",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,"Rails (Ruby), Express (Node)",JSON-API,None,"Ember-QUnit, Mocha","6-9 months, 9-12 months","Almost daily, Weekly","Desktop, Mobile, Desktop & Mobile (fully responsive)","Public Consumers, Business to business consumers","Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions)",An app that is used by millions of users,"S3 (with or without CloudFront), Heroku, Divshot",No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply",> 6,> 6,Some,All
2/4/2015 15:58:21,Europe,3-6 months,6,3,Developer,Some times,Employee working on product,"Ruby, JavaScript, PHP",Sublime,Does 'contribute to Ghost' count?,Mac OSX,,1-10,1-10,More,1.9,"Ember-Data, Ember-Model",1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Ember App Kit",I don't know,"Bower, npm, ember-cli (bower and npm)",JavaScript,Express (Node),JSON-API,None,Mocha,9-12 months,Monthly,Desktop & Mobile (fully responsive),Public Consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by millions of users,"VPS (cloud infrastructure), Self-hosted (dedicated infrastructure)",Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
2/4/2015 16:00:10,Europe,18-24 months,9,7,Developer,All the time,Employee working on product,"JavaScript, Java",WebStorm,"Opened an issue, Opened a PR, Attended a meetup / conference, Given a talk / lecture / class","Linux/Unix, Windows",Backbone,10-20,1-10,More,"1.7, 1.8",Custom Solution,,"Standard Ember Templates (Handlebars/HTMLBars), Server-side Handlebars templates precompiled on the fly due to a huge amount of supported languages (custom i18n processor included)","Ember App Kit, Grunt",ES6 transpilation,"Bower, npm",JavaScript,Express (Node),Custom design,None,Mocha,12-18 months,Monthly,Desktop & Mobile (fully responsive),Consumers and internal users,"Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,Self-hosted (dedicated infrastructure),Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
2/4/2015 16:00:27,North America,Started on Sproutcore 2 (or before!),9,9,Developer,All the time,Employee working on product,"Python, JavaScript","Sublime, Atom","Opened an issue, Opened a PR, Attended a meetup / conference, Written a blog post / article, Given a talk / lecture / class",Mac OSX,"Backbone, Sproutcore",1-10,1-10,The same amount,1.9,"Ember-Data, Custom Solution, ic-ajax",1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),In-House. Built with broccoli. Modeled after Ember-cli.,ES6 transpilation,"Bower, npm",Python,Pyramid (Python),"JSON-API, We have some DIY because we have cross entity transactional needs.",None,Ember-QUnit,Started on Sproutcore 2,Weekly,Desktop,"Business to business consumers, Consumers and internal users","Modern browsers (last two versions), IE 9","Modern browsers (last two versions), IE 9",An app that is used by thousands of users,Google Cloud Storage,Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,0,Some,None
2/4/2015 16:02:31,Europe,< 3 months,6,3,CTO,Some times,"Independent product developer, Independent consultant",Ruby,Sublime,"Attended a meetup / conference, Written a blog post / article",Mac OSX,"Angular, Meteor, jQuery Mobile",1-10,1-10,More,1.1,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",Ruby,Rails (Ruby),"JSON-API, A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",Gelato.io,Ember-QUnit,< 3 months,Almost daily,Desktop,Business to business consumers,Modern browsers (last two versions),"Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,VPS (cloud infrastructure),Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
2/4/2015 16:05:49,Europe,> 24 months,8,7,Developer,All the time,Employee doing consulting/client work,JavaScript,Sublime,"Maintain a library, Attended a meetup / conference, Written a blog post / article, Given a talk / lecture / class",Mac OSX,,1-10,1-10,More,Canary (master),Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"npm, ember-cli (bower and npm)",JavaScript,Sails,JSON-API,None,Ember-QUnit,6-9 months,Less than once a month,"Desktop & Mobile (fully responsive), Cordova/Phonegap/Crosswalk","Public Consumers, Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,Self-hosted (dedicated infrastructure),Shared hardware,Git,"phantomjs or other pre-rendering, Google's JavaScript execution, Our app is indexable, but I don't know how",1-3,1-3,None,None
2/4/2015 16:06:34,North America,< 3 months,3,1,Developer,Never,Employee working on product,"Ruby, Java",Vim,Attended a meetup / conference,Linux/Unix,,More than 100,1-10,More,1.7,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Rails asset pipeline",ES6 transpilation,ember-cli (bower and npm),Ruby,"Rails (Ruby), Sinatra (Ruby)","A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",,We don’t write tests,< 3 months,Haven’t shipped yet / Still developing,,Internal users only,"Legacy Chrome, Firefox, or Safari","Legacy Chrome, Firefox, or Safari",An app that is used by thousands of users,,,Git,,0,0,I'm not sure how to do this,I'm not sure how to do this
2/4/2015 16:07:05,North America,9-12 months,8,7,Developer,Some times,Employee working on product,"PHP, Coldfusion","Sublime, WebStorm","Opened an issue, Attended a meetup / conference, Given a talk / lecture / class","Mac OSX, Windows",jQuery Mobile,1-10,1-10,The same amount,"1.8, 1.11 Beta",Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",Coldfusion,,JSON-API,None,We don’t write tests,3 -6 months,Less than once a month,Desktop & Mobile (fully responsive),"Consumers and internal users, Internal users only","Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,Self-hosted (dedicated infrastructure),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,1-3,None,None
2/4/2015 16:07:20,North America,12-18 months,6,4,Developer,Some times,Employee doing consulting/client work,"Ruby, JavaScript",Sublime,"Opened an issue, Used IRC/Forum/StackOverflow",Mac OSX,jQuery Mobile,More than 100,1-10,More,"1.9, 1.10","Custom Solution, Custom Drupal API",,Standard Ember Templates (Handlebars/HTMLBars),Grunt,I don't know,npm,PHP,Drupal,"JSON-API, Custom design",None,"We don’t write tests, Ugghh.",6-9 months,Weekly,Desktop & Mobile (fully responsive),"Public Consumers, Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9","Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9",An app that is used by thousands of users,S3 (with or without CloudFront),Shared hardware,Git,"noscript tags, Google's JavaScript execution",0,0,None,None
2/4/2015 16:10:00,North America,12-18 months,8,8,CTO,All the time,Employee working on product,JavaScript,"Sublime, WebStorm, Atom","Opened an issue, Attended a meetup / conference, Given a talk / lecture / class",Mac OSX,React,1-10,1-10,The same amount,1.7,"Ember-Data, ic-ajax",1.0-beta.8-10,Standard Ember Templates (Handlebars/HTMLBars),ember-resolver,"ES6 transpilation, Broccoli","Bower, npm",JavaScript,koajs (Node),"JSON-API, Custom design",None,"We don’t write tests, :(",9-12 months,Almost daily,Desktop & Mobile (fully responsive),"Public Consumers, Business to business consumers","Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions), IE 9",An app that is used by thousands of users,VPS (cloud infrastructure),Shared hardware,Git,Google's JavaScript execution,0,0,,
2/4/2015 16:12:20,North America,> 24 months,10,8,Developer,Some times,Employee working on product,"Python, JavaScript, Go, Java, Right tool for the job",WebStorm,"Opened an issue, Opened a PR, Attended a meetup / conference, Given a talk / lecture / class","Mac OSX, Linux/Unix, Windows","Backbone, React, Express",More than 100,20-50,The same amount,"1.8, 1.9, 1.10","Ember-Data, ic-ajax","0.13, 0.14",Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Grunt","ES6 transpilation, Browserify","Bower, npm, ember-cli (bower and npm), Browserify isn't even relevant here.","Python, JavaScript, PHP, Go, Java","Django (Python), Express (Node)",JSON-API,Readme files. ,"Ember-QUnit, Mocha, Selenium is not Cucumber. ",18-24 months,Weekly,Desktop,"Public Consumers, Business to business consumers, Consumers and internal users, Internal users only","Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions), IE 9",An app that is used by thousands of users,Self-hosted (dedicated infrastructure),Shared hardware,Git,,4-6,0,All,All
2/4/2015 16:13:22,North America,12-18 months,6,8,Developer,All the time,Employee working on product,Ruby,Vim,"Opened an issue, Attended a meetup / conference",Mac OSX,,1-10,1-10,More,1.9,Ember-Data,"1.0-beta.11, 1.0-beta.12",Emblem,Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,9-12 months,Weekly,Desktop,Business to business consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by tens of users,S3 (with or without CloudFront),No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply",> 6,0,I'm not sure how to do this,I'm not sure how to do this
2/4/2015 16:15:21,South America,12-18 months,4,5,Project manager,Some times,"Employee doing consulting/client work, Independent product developer","Ruby, Python, JavaScript","Sublime, Vim",Given a talk / lecture / class,Linux/Unix,Angular,1-10,1-10,The same amount,"1.6, 1.9",Ember-Data,0.13,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Yeoman, Grunt, Gulp",I don't know,"Bower, ember-cli (bower and npm)","Python, JavaScript","Rails (Ruby), Flask (Python), Express (Node)",JSON-API,None,Mocha,"< 3 months, 3 -6 months",Monthly,Desktop,Business to business consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by tens of users,"Google Cloud Storage, Firebase",No shared infrastructure,Git,"Our app is indexable, but I don't know how",1-3,1-3,I'm not sure how to do this,I'm not sure how to do this
2/4/2015 16:15:24,Europe,< 3 months,4,1,Developer,Never,Employee doing consulting/client work,Ruby,Sublime,"Opened an issue, Given a talk / lecture / class",Linux/Unix,Angular,10-20,None,The same amount,1.9,"Ember-Data, ic-ajax",1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,< 3 months,Less than once a month,Desktop,Internal users only,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",Exploring the idea only,Heroku,,Git,,0,0,None,None
2/4/2015 16:15:27,South America,12-18 months,8,8,Developer,Some times,"Independent product developer, Independent consultant","Python, JavaScript",Vim,"Opened an issue, Maintain a library, Given a talk / lecture / class",Linux/Unix,"Backbone, Meteor",1-10,1-10,More,"1.9, 1.10, 1.11 Beta","Ember-Data, ic-ajax","1.0-beta.13, 1.0-beta.14","Standard Ember Templates (Handlebars/HTMLBars), Emblem",Ember-cli,"ES6 transpilation, Browserify","Bower, npm, ember-cli (bower and npm), Browserify",JavaScript,Express (Node),JSON-API,"Swagger, None","Ember-QUnit, We don’t write tests","< 3 months, 9-12 months","Weekly, Monthly","Desktop, Desktop & Mobile (fully responsive)","Public Consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,"S3 (with or without CloudFront), Heroku",No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply",4-6,1-3,Some,I'm not sure how to do this
2/4/2015 16:15:56,Europe,18-24 months,9,7,Developer,Some times,Employee working on product,"Ruby, JavaScript",Sublime,None of these,Mac OSX,React,More than 100,1-10,The same amount,"1.8, 1.10, 1.11 Beta","Ember-Data, Ember-Model, ic-ajax",1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),"Java, C","Rails (Ruby), Spring (Java)","HAL, JSON-API, Custom design","Swagger, RAML",Ember-QUnit,"< 3 months, 9-12 months, 12-18 months","Almost daily, Almost never","Desktop & Mobile (fully responsive), Cordova/Phonegap/Crosswalk",Business to business consumers,"Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9, IE 8, IE 7","Mobile browsers, Modern browsers (last two versions), Legacy Chrome, Firefox, or Safari, IE 9, IE 8",An app that is used by thousands of users,,,Git,"App is private, behind an authentication flow, or this question generally does not apply",4-6,0,Some,Some
2/4/2015 16:18:27,Europe,3-6 months,5,2,Developer,Some times,"Employee working on product, Employee doing consulting/client work, Independent product developer",Ruby,RubyMine,None of these,"Mac OSX, Linux/Unix",jQuery Mobile,1-10,1-10,The same amount,1.7,Ember-Data,1.0-beta.13,Standard Ember Templates (Handlebars/HTMLBars),Lineman,ES6 transpilation,Bower,Ruby,"Rails (Ruby), Sinatra (Ruby)","A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,"Jasmine, Selenium (Cucumber)",< 3 months,Haven’t shipped yet / Still developing,Desktop,"Business to business consumers, Consumers and internal users","Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions)",Prototype only,"VPS (cloud infrastructure), Self-hosted (dedicated infrastructure)",Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,I'm not sure how to do this,I'm not sure how to do this
2/4/2015 16:19:09,North America,6-9 months,3,2,Designer,All the time,Employee working on product,"Ruby, PHP",Sublime,None of these,Mac OSX,,1-10,1-10,More,1.9,,,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,,ember-cli (bower and npm),Ruby,Rails (Ruby),JSON-API,None,,3 -6 months,Almost daily,Desktop,Business to business consumers,Modern browsers (last two versions),"Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,Heroku,Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,I'm not sure how to do this,I'm not sure how to do this
2/4/2015 16:20:09,North America,12-18 months,6,8,Developer,All the time,Employee working on product,"Ruby, JavaScript","Vim, Atom","Attended a meetup / conference, Given a talk / lecture / class",Mac OSX,,1-10,1-10,The same amount,1.7,"Ember-Data, ic-ajax",1.0-beta.8-10,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Python,Django (Python),I don't get to design my API,,Ember-QUnit,18-24 months,Almost never,Desktop & Mobile (fully responsive),Business to business consumers,"Mobile browsers, Modern browsers (last two versions), IE 9, IE 8","Mobile browsers, Modern browsers (last two versions), IE 9, IE 8",An app that is used by thousands of users,Self-hosted (dedicated infrastructure),Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,1-3,All,All
2/4/2015 16:21:41,North America,> 24 months,9,9,Developer,All the time,"Employee working on product, Employee doing consulting/client work","Ruby, JavaScript",Vim,"Opened an issue, Opened a PR, Maintain a library, Attended a meetup / conference, Written a blog post / article, Given a talk / lecture / class",Mac OSX,Backbone,10-20,1-10,More,Canary (master),Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),"Ruby, Scala",,JSON-API,Apiary,Ember-QUnit,< 3 months,Almost daily,"Desktop, Legacy Desktop (Point-of-sale units, embedded devices), Mobile, Desktop & Mobile (fully responsive)","Public Consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions), IE 9",An app that is used by millions of users,S3 (with or without CloudFront),Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply, noscript tags",1-3,1-3,Some,Some
2/4/2015 16:21:49,Europe,> 24 months,9,8,CTO,All the time,Independent product developer,JavaScript,Sublime,"Opened an issue, Opened a PR, Maintain a library",Mac OSX,jQuery Mobile,1-10,1-10,More,"pre-1.0, 1.8, Canary (master)","Ember-Data, Ember Pouch, Custom Solution",1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",JavaScript,,"I don't get to design my API, CouchDB",,Ember-QUnit,"9-12 months, 18-24 months",Weekly,"Desktop & Mobile (fully responsive), Cordova/Phonegap/Crosswalk",Business to business consumers,"Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions), IE 9",An app that is used by tens of users,Self-hosted (dedicated infrastructure),No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,1-3,I'm not sure how to do this,I'm not sure how to do this
2/4/2015 16:24:06,Australia,12-18 months,8,8,Developer,Some times,Employee working on product,"Ruby, JavaScript, Go","Sublime, Vim","Opened an issue, Maintain a library, Attended a meetup / conference, Written a blog post / article","Mac OSX, Linux/Unix","Angular, Backbone, Meteor",50-100,1-10,The same amount,"1.9, 1.10","Ember-Data, Custom Solution",1.0-beta.13,"Standard Ember Templates (Handlebars/HTMLBars), Emblem","Ember-cli, Ember-rails (pre-cli)",,"Bower, ember-cli (bower and npm)",Ruby,"Rails (Ruby), Sinatra (Ruby), Express (Node)","JSON-API, A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",API Blueprint,"Ember-QUnit, Mocha","< 3 months, 12-18 months",Almost daily,Desktop & Mobile (fully responsive),Business to business consumers,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by thousands of users,"VPS (cloud infrastructure), S3 (with or without CloudFront), Heroku, Divshot",Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,0,All,None
2/4/2015 16:24:09,North America,6-9 months,9,7,Developer,All the time,Employee doing consulting/client work,"Ruby, JavaScript","Sublime, Vim","Opened an issue, Opened a PR, Attended a meetup / conference, Given a talk / lecture / class",Linux/Unix,Backbone,More than 100,10-20,More,"1.8, 1.9, 1.10",ic-ajax,,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),"Ruby, JavaScript, Java","Rails (Ruby), Express (Node)",Custom design,None,"Ember-QUnit, testium","< 3 months, 3 -6 months",Weekly,Desktop,Internal users only,Modern browsers (last two versions),Modern browsers (last two versions),An app that is used by tens of users,Self-hosted (dedicated infrastructure),Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,0,All,Some
2/4/2015 16:24:24,North America,> 24 months,8,8,Developer,All the time,Employee working on product,JavaScript,"Sublime, Atom","Opened an issue, Opened a PR, Attended a meetup / conference",Mac OSX,Backbone,20-50,1-10,The same amount,"1.6, 1.9",Ember-Data,"1.0-beta.8-10, 1.0-beta.14",Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Grunt","ES6 transpilation, Require.js","npm, ember-cli (bower and npm)","JavaScript, Java","Express (Node), Spring (Java)","JSON-API, I don't get to design my API",None,"Ember-QUnit, Mocha, Selenium (Cucumber)","< 3 months, 12-18 months",Almost daily,Desktop & Mobile (fully responsive),Public Consumers,"Mobile browsers, Modern browsers (last two versions), IE 9, IE 8","Mobile browsers, Modern browsers (last two versions), IE 9",An app that is used by thousands of users,Self-hosted (dedicated infrastructure),No shared infrastructure,Git,"Our app is indexable, but I don't know how",1-3,0,All,All
2/4/2015 16:24:31,Europe,12-18 months,8,9,CTO,All the time,"Employee working on product, Independent product developer","Ruby, JavaScript, PHP",Atom,None of these,Mac OSX,"Backbone, jQuery Mobile",1-10,1-10,The same amount,1.9,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),"Ember-cli, Ember-rails (pre-cli)",ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",Ruby,Rails (Ruby),JSON-API,Apiary,Ember-QUnit,12-18 months,Weekly,Desktop,Business to business consumers,Modern browsers (last two versions),"Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,Heroku,Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,None,None
2/4/2015 16:24:44,Europe,9-12 months,9,9,Developer,All the time,Employee working on product,Ruby,Atom,"Maintain a library, Attended a meetup / conference, Given a talk / lecture / class",Mac OSX,"Backbone, Meteor",10-20,1-10,More,1.8,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),"A non-standard compliant library such as ActiveModel::Serializer (Ruby), FRAPI (PHP), etc.",None,Ember-QUnit,3 -6 months,Almost daily,Desktop,Consumers and internal users,"Mobile browsers, Modern browsers (last two versions), IE 9, IE 8",Modern browsers (last two versions),An app that is used by tens of users,Divshot,No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,1-3,Some,None
2/4/2015 16:25:26,Europe,> 24 months,9,8,CTO,Some times,Independent product developer,"Ruby, JavaScript",Sublime,"Opened an issue, Opened a PR, Written a blog post / article, Given a talk / lecture / class, manage emberjs paris","Mac OSX, Linux/Unix","Angular, Backbone, React, Ionic",1-10,1-10,The same amount,1.1,Ember-Data,"1.0-beta.11, 1.0-beta.12",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"Bower, npm, ember-cli (bower and npm)",JavaScript,"Rails (Ruby), Express (Node), koa.js","JSON-API, first class citizens ressources",tests,Ember-QUnit,"< 3 months, 3 -6 months, 6-9 months, 9-12 months, 12-18 months, 18-24 months",Almost daily,"Desktop & Mobile (fully responsive), Cordova/Phonegap/Crosswalk","Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions), IE 9","Mobile browsers, Modern browsers (last two versions), IE 9",An app that is used by millions of users,"S3 (with or without CloudFront), Heroku",Shared data-center,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,1-3,All,Some
2/4/2015 16:27:00,North America,3-6 months,4,4,Developer,Some times,"Employee working on product, Independent product developer","Ruby, JavaScript",Sublime,Attended a meetup / conference,Mac OSX,"Angular, jQuery Mobile",1-10,None,Fewer,1.1,Ember-Data,0.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,I don't know,"Bower, npm, ember-cli (bower and npm)",Ruby,Rails (Ruby),JSON-API,None,Mocha,< 3 months,Haven’t shipped yet / Still developing,Desktop,Consumers and internal users,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by tens of users,"Heroku, Firebase",No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,I'm not sure how to do this,I'm not sure how to do this
2/4/2015 16:27:37,North America,6-9 months,5,5,Developer,All the time,"Employee working on product, Employee doing consulting/client work, Independent product developer, Independent consultant",Ruby,Vim,None of these,Mac OSX,"Backbone, jQuery Mobile",More than 100,1-10,The same amount,"1.3, 1.6",Ember-Data,"1.0-beta.11, 1.0-beta.12",Standard Ember Templates (Handlebars/HTMLBars),"Rails asset pipeline, Ember-rails (pre-cli)",,,Ruby,"Rails (Ruby), Sinatra (Ruby)",JSON-API,None,Ember-QUnit,6-9 months,Almost daily,Desktop,"Public Consumers, Business to business consumers, Consumers and internal users, Internal users only","Modern browsers (last two versions), IE 9, IE 8","Mobile browsers, Modern browsers (last two versions), IE 9, IE 8",An app that is used by thousands of users,Heroku,Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,0,I'm not sure how to do this,I'm not sure how to do this
2/4/2015 16:28:07,North America,Started on Sproutcore 2 (or before!),8,8,Developer,All the time,Employee working on product,"Ruby, JavaScript",Vim,"Opened an issue, Opened a PR, Attended a meetup / conference, Given a talk / lecture / class",Mac OSX,Knockout,1-10,1-10,The same amount,1.7,Ember-Model,,Standard Ember Templates (Handlebars/HTMLBars),Grunt,Browserify,,Ruby,Rails (Ruby),Custom design,None,"Ember-QUnit, Selenium (Cucumber)",> 24 months,Weekly,Desktop,Public Consumers,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,Heroku,Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",1-3,0,None,None
2/4/2015 16:32:08,North America,6-9 months,8,6,Developer,Some times,"Employee working on product, Employee doing consulting/client work","Ruby, JavaScript",Atom,"Opened an issue, Opened a PR, Maintain a library, Attended a meetup / conference, Written a blog post / article",Mac OSX,"Angular, Backbone",More than 100,1-10,The same amount,1.1,Ember-Data,"1.0-beta.11, 1.0-beta.12, 1.0-beta.13, 1.0-beta.14",Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,"Bower, npm, ember-cli (bower and npm)","Ruby, Python, JavaScript","Rails (Ruby), Django (Python), Flask (Python), Express (Node)","JSON-API, I don't get to design my API",Apiary,Ember-QUnit,"< 3 months, 3 -6 months, 6-9 months","Almost daily, Weekly, Haven’t shipped yet / Still developing",Desktop & Mobile (fully responsive),"Public Consumers, Business to business consumers, Consumers and internal users","Mobile browsers, Modern browsers (last two versions), IE 9, IE 8","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,"Heroku, Divshot",No shared infrastructure,Git,"App is private, behind an authentication flow, or this question generally does not apply",> 6,> 6,All,Some
2/4/2015 16:32:53,North America,18-24 months,8,8,Developer,All the time,Employee working on product,Ruby,Sublime,"Opened an issue, Opened a PR, Attended a meetup / conference",Mac OSX,,More than 100,1-10,The same amount,1.8,Ember-Data,1.0-beta.14,Standard Ember Templates (Handlebars/HTMLBars),Ember-cli,ES6 transpilation,ember-cli (bower and npm),Ruby,Rails (Ruby),JSON-API,None,Ember-QUnit,9-12 months,Weekly,Desktop & Mobile (fully responsive),Internal users only,"Mobile browsers, Modern browsers (last two versions)","Mobile browsers, Modern browsers (last two versions)",An app that is used by thousands of users,Heroku,Shared hardware,Git,"App is private, behind an authentication flow, or this question generally does not apply",0,0,I'm not sure how to do this,I'm not sure how to do this
